keyword,community,degree,weighted_degree
mathematics performance,0,1,37
intelligent tutoring system,0,1,37
education policy,0,1,37
community college,2,1,36
innovation,1,1,36
mathematics instruction,0,1,36
virtual reality,5,1,35
project based learning,2,1,35
mathematicians,0,1,35
procedural knowledge,3,1,35
tertiary education,0,1,35
teacher perceptions,0,1,35
learning strategies,0,1,35
mentoring,2,1,35
college students,0,1,34
student thinking,0,1,34
development,1,1,34
statistical literacy,0,1,33
electrical engineering,2,1,33
mathematical practices,0,1,33
learning disabilities,0,1,33
educational context,0,1,33
kindergarten,0,1,33
learning difficulties,0,1,33
women in stem,2,1,33
mathematical models,0,1,33
classroom teaching,0,1,33
classroom discourse,0,1,33
teaching materials,0,1,33
rational numbers,0,1,32
informatics,1,1,32
data mining,4,1,32
personalized learning,4,1,32
differential calculus,0,1,32
cognitive science,0,1,32
student participation,0,1,32
online education,0,1,31
learning environments,0,1,31
classroom practices,0,1,31
teacher support,0,1,31
textbook analysis,0,1,31
education reform,0,1,31
mathematical discourse,0,1,31
computer algebra systems,0,1,31
mathematical proficiency,0,1,31
women in engineering,2,1,31
philosophy of mathematics,0,1,30
preservice teacher education,0,1,30
elementary school teachers,0,1,30
learning styles,0,1,30
basic education,0,1,30
bilingual education,0,1,30
integral calculus,0,1,30
novice teachers,0,1,30
teacher practice,0,1,30
probability,1,1,30
science technology engineering mathematics,2,1,30
teacher role,0,1,30
rural education,0,1,29
student understanding,0,1,29
situated learning,0,1,29
faculty development,2,1,29
learning mathematics,0,1,29
classroom management,0,1,29
steam education,2,1,29
mathematics classroom,0,1,29
interdisciplinary,1,1,28
computer science education,0,1,28
science teachers,2,1,28
educational software,0,1,28
geometry education,0,1,28
mathematical performance,0,1,28
interdisciplinary education,2,1,28
mathematical development,0,1,28
female students,0,1,28
student learning outcomes,0,1,27
undergraduate mathematics,0,1,27
mathematical tasks,0,1,27
computer programming,2,1,27
science learning,2,1,27
mathematics teacher education,0,1,27
english language learners,0,1,27
university mathematics,0,1,27
quantitative literacy,0,1,27
self-efficacy,1,1,27
critical mathematics education,0,1,27
mathematics research,0,1,26
technology-enhanced learning,0,1,26
software engineering,4,1,26
flipped learning,0,1,26
multiplication,0,1,26
inclusion,6,1,26
math skills,0,1,26
mathematization,0,1,26
mathematical connections,0,1,26
equity,6,1,26
secondary teachers,0,1,26
effective teaching,0,1,26
geometry learning,0,1,26
financial literacy,0,1,26
lesson planning,0,1,26
curriculum implementation,0,1,26
teacher educator,0,1,25
critical mathematics,0,1,25
understanding,0,1,25
gamification,1,1,25
mathematical objects,0,1,25
mathematical abilities,0,1,25
computer-assisted instruction,0,1,25
mobile learning,2,1,25
algorithmic thinking,4,1,25
mathematical content,0,1,25
teacher effectiveness,0,1,25
creativity,1,1,25
civil engineering,2,1,24
mathematical cognition,0,1,24
stem learning,2,1,24
learning models,0,1,24
math achievement,0,1,24
critical pedagogy,0,1,24
university level,0,1,24
e-learning,1,1,24
secondary students,0,1,24
learning style,0,1,24
mathematical problem-solving,0,1,24
technology enhanced learning,0,1,23
computer algebra system,0,1,23
mathematical activity,0,1,23
gifted education,0,1,23
adult education,0,1,23
mathematics classrooms,0,1,23
career choice,2,1,23
reading comprehension,0,1,23
teacher reflection,0,1,23
physical education,0,1,23
problem-solving,4,1,23
stem disciplines,2,1,23
engineering careers,2,1,23
informal learning,2,1,23
creative thinking,2,1,22
preschool teachers,0,1,22
adaptive learning,4,1,22
didactics,0,1,22
teachers beliefs,0,1,22
educational outcomes,0,1,22
curriculum materials,0,1,22
research experience,2,1,22
engineering design process,2,1,22
equity in education,0,1,22
quality education,0,1,22
computer aided instruction,0,1,22
teaching method,0,1,22
numeracy skills,0,1,22
future teachers,0,1,22
engineering technology,2,1,22
educational games,0,1,22
undergraduate,0,1,22
university education,0,1,22
numerical cognition,0,1,21
distance education,2,1,21
student perception,0,1,21
mathematics attitudes,0,1,21
pedagogical strategies,0,1,21
teacher efficacy,0,1,21
teacher self-efficacy,0,1,21
educational process,0,1,21
career interest,2,1,21
realistic mathematics,0,1,21
curriculum standards,0,1,21
outreach programs,2,1,21
instructional strategies,0,1,21
mathematics reform,0,1,21
technical universities,0,1,21
general education,0,1,21
curriculum change,0,1,21
workforce development,2,1,21
professional growth,2,1,21
educational innovation,0,1,21
urban schools,0,1,20
space education,2,1,20
primary students,0,1,20
numerical methods,0,1,20
math education,1,1,20
classroom assessment,0,1,20
geometry teaching,0,1,20
training,1,1,20
instructional practice,0,1,20
mathematical sciences,0,1,20
middle school teachers,0,1,20
mathematical beliefs,0,1,20
pedagogical approach,0,1,20
learning theory,0,1,20
computer algebra,0,1,20
teacher perspectives,0,1,20
abstract algebra,0,1,20
teaching approaches,0,1,20
classroom environment,0,1,20
student assessment,0,1,20
mathematical identity,0,1,20
educational data mining,0,1,20
mathematical argumentation,0,1,20
health literacy,1,1,20
