row_abs,keywords_llm,raw_response
41,"[""vibration absorber"", ""electrical transformer"", ""structural vibration"", ""passive device"", ""control system""]","{""keywords"": [""vibration absorber"", ""electrical transformer"", ""structural vibration"", ""passive device"", ""control system""]}"
42,"[""crone control"", ""frequency domain"", ""robust control"", ""fractional differentiation"", ""time variant systems""]","{""keywords"": [""crone control"", ""frequency domain"", ""robust control"", ""fractional differentiation"", ""time variant systems""]}"
43,"[""vibration control"", ""fractional differentiation"", ""viscoelastic behavior"", ""suspension design"", ""robust control""]","{""keywords"": [""vibration control"", ""fractional differentiation"", ""viscoelastic behavior"", ""suspension design"", ""robust control""]}"
44,"[""chaotic phenomena"", ""fractional order dynamics"", ""redundant manipulators"", ""trajectory control"", ""fractional calculus""]","{""keywords"": [""chaotic phenomena"", ""fractional order dynamics"", ""redundant manipulators"", ""trajectory control"", ""fractional calculus""]}"
45,"[""fractional motion"", ""path tracking"", ""cutting table"", ""fractional differentiation"", ""control systems""]","{""keywords"": [""fractional motion"", ""path tracking"", ""cutting table"", ""fractional differentiation"", ""control systems""]}"
46,"[""fractional order controllers"", ""analogue circuits"", ""continued fraction expansions"", ""negative impedance converters"", ""rational approximations""]","{""keywords"": [""fractional order controllers"", ""analogue circuits"", ""continued fraction expansions"", ""negative impedance converters"", ""rational approximations""]}"
47,"[""fractional order calculus"", ""model reference adaptive control"", ""adaptive control systems"", ""fractional order adjustment"", ""control theory""]","{""keywords"": [""fractional order calculus"", ""model reference adaptive control"", ""adaptive control systems"", ""fractional order adjustment"", ""control theory""]}"
48,"[""spacecraft attitude control"", ""fractional order controller"", ""partial differential equation"", ""frequency response"", ""damping ratio""]","{""keywords"": [""spacecraft attitude control"", ""fractional order controller"", ""partial differential equation"", ""frequency response"", ""damping ratio""]}"
49,"[""fractional order systems"", ""control theory"", ""time varying response"", ""stability properties"", ""vector space representation""]","{""keywords"": [""fractional order systems"", ""control theory"", ""time varying response"", ""stability properties"", ""vector space representation""]}"
50,"[""parallel computation"", ""distributed languages"", ""haskell programming"", ""coordination language"", ""functional programming""]","{""keywords"": [""parallel computation"", ""distributed languages"", ""haskell programming"", ""coordination language"", ""functional programming""]}"
51,"[""haskell programming"", ""xml documents"", ""html documents"", ""domain specific languages"", ""combinator library""]","{""keywords"": [""haskell programming"", ""xml documents"", ""html documents"", ""domain specific languages"", ""combinator library""]}"
52,"[""greenberger-horne-zeilinger paradox"", ""entangled state"", ""qubits"", ""quantum mechanics"", ""entanglement theory""]","{""keywords"": [""greenberger-horne-zeilinger paradox"", ""entangled state"", ""qubits"", ""quantum mechanics"", ""entanglement theory""]}"
53,"[""haskell compiler"", ""function inlining"", ""compiler optimization"", ""programming languages"", ""code performance""]","{""keywords"": [""haskell compiler"", ""function inlining"", ""compiler optimization"", ""programming languages"", ""code performance""]}"
54,"[""dependent types"", ""haskell programming"", ""type systems"", ""data validity"", ""type class mechanism""]","{""keywords"": [""dependent types"", ""haskell programming"", ""type systems"", ""data validity"", ""type class mechanism""]}"
55,"[""concurrent haskell"", ""web server"", ""network applications"", ""fault tolerance"", ""high performance""]","{""keywords"": [""concurrent haskell"", ""web server"", ""network applications"", ""fault tolerance"", ""high performance""]}"
56,"[""haskell programming"", ""static semantics"", ""type system"", ""polymorphic recursion"", ""lambda calculus""]","{""keywords"": [""haskell programming"", ""static semantics"", ""type system"", ""polymorphic recursion"", ""lambda calculus""]}"
57,"[""risk attitudes"", ""subconscious priming"", ""decision making"", ""preconscious processing"", ""affective primacy""]","{""keywords"": [""risk attitudes"", ""subconscious priming"", ""decision making"", ""preconscious processing"", ""affective primacy""]}"
58,"[""probability learning"", ""rational choice"", ""payoff probability"", ""response strategy"", ""decision making""]","{""keywords"": [""probability learning"", ""rational choice"", ""payoff probability"", ""response strategy"", ""decision making""]}"
59,"[""auditor judgment"", ""recency bias"", ""self review"", ""audit practice"", ""debiasing techniques""]","{""keywords"": [""auditor judgment"", ""recency bias"", ""self review"", ""audit practice"", ""debiasing techniques""]}"
60,"[""price discount"", ""semantic relatedness"", ""mental accounting"", ""comparative price"", ""preference reversal""]","{""keywords"": [""price discount"", ""semantic relatedness"", ""mental accounting"", ""comparative price"", ""preference reversal""]}"
61,"[""aesthetic preference"", ""physical size"", ""abstract stimuli"", ""preference judgment"", ""attentional resources""]","{""keywords"": [""aesthetic preference"", ""physical size"", ""abstract stimuli"", ""preference judgment"", ""attentional resources""]}"
62,"[""decision process"", ""goal realization"", ""motivation"", ""decision making"", ""psychology""]","{""keywords"": [""decision process"", ""goal realization"", ""motivation"", ""decision making"", ""psychology""]}"
63,"[""quantum zeno effect"", ""adiabatic theorem"", ""decoherence free subspaces"", ""quantum systems"", ""dynamical coupling""]","{""keywords"": [""quantum zeno effect"", ""adiabatic theorem"", ""decoherence free subspaces"", ""quantum systems"", ""dynamical coupling""]}"
64,"[""mass spectrometry"", ""neural networks"", ""wheat variety"", ""spectra processing"", ""laser desorption""]","{""keywords"": [""mass spectrometry"", ""neural networks"", ""wheat variety"", ""spectra processing"", ""laser desorption""]}"
65,"[""firmware interface"", ""boot sequence"", ""bios interface"", ""device drivers"", ""embedded systems""]","{""keywords"": [""firmware interface"", ""boot sequence"", ""bios interface"", ""device drivers"", ""embedded systems""]}"
66,"[""quantum teleportation"", ""noisy channels"", ""lindblad form"", ""decoherence rates"", ""quantum channels""]","{""keywords"": [""quantum teleportation"", ""noisy channels"", ""lindblad form"", ""decoherence rates"", ""quantum channels""]}"
67,"[""quantum states"", ""hilbert space"", ""quantum cryptography"", ""data compression"", ""quantum teleportation""]","{""keywords"": [""quantum states"", ""hilbert space"", ""quantum cryptography"", ""data compression"", ""quantum teleportation""]}"
68,"[""quantum measurement"", ""quantum state"", ""programmable device"", ""state discrimination"", ""quantum computing""]","{""keywords"": [""quantum measurement"", ""quantum state"", ""programmable device"", ""state discrimination"", ""quantum computing""]}"
69,"[""quantum coding"", ""variable length code"", ""probability distribution"", ""quantum states"", ""error rate""]","{""keywords"": [""quantum coding"", ""variable length code"", ""probability distribution"", ""quantum states"", ""error rate""]}"
70,"[""artificial intelligence"", ""genetic algorithm"", ""neural network"", ""ground state geometry"", ""silicon clusters""]","{""keywords"": [""artificial intelligence"", ""genetic algorithm"", ""neural network"", ""ground state geometry"", ""silicon clusters""]}"
71,"[""quantum information"", ""nuclear magnetic resonance"", ""quantum systems"", ""spin dynamics"", ""entanglement""]","{""keywords"": [""quantum information"", ""nuclear magnetic resonance"", ""quantum systems"", ""spin dynamics"", ""entanglement""]}"
72,"[""quantum phase gate"", ""photonic qubits"", ""beam splitters"", ""postselection"", ""photon conservation""]","{""keywords"": [""quantum phase gate"", ""photonic qubits"", ""beam splitters"", ""postselection"", ""photon conservation""]}"
73,"[""entangled atoms"", ""optical cavity"", ""bichromatic light"", ""cavity qed"", ""spin squeezed states""]","{""keywords"": [""entangled atoms"", ""optical cavity"", ""bichromatic light"", ""cavity qed"", ""spin squeezed states""]}"
74,"[""quantum networking"", ""single photon source"", ""optical cavity"", ""raman transition"", ""quantum communication""]","{""keywords"": [""quantum networking"", ""single photon source"", ""optical cavity"", ""raman transition"", ""quantum communication""]}"
75,"[""quantum systems"", ""hamiltonian dynamics"", ""qudits"", ""quantum computation"", ""entangling hamiltonian""]","{""keywords"": [""quantum systems"", ""hamiltonian dynamics"", ""qudits"", ""quantum computation"", ""entangling hamiltonian""]}"
76,"[""entangled states"", ""quantum information"", ""dense coding"", ""entangled qubits"", ""classical information""]","{""keywords"": [""entangled states"", ""quantum information"", ""dense coding"", ""entangled qubits"", ""classical information""]}"
77,"[""quantum state"", ""rydberg atom"", ""electric field pulse"", ""phase retrieval"", ""wave packet""]","{""keywords"": [""quantum state"", ""rydberg atom"", ""electric field pulse"", ""phase retrieval"", ""wave packet""]}"
78,"[""quantum mechanics"", ""open systems"", ""retrodiction theory"", ""quantum communications"", ""master equation""]","{""keywords"": [""quantum mechanics"", ""open systems"", ""retrodiction theory"", ""quantum communications"", ""master equation""]}"
79,"[""quantum system"", ""thermal bath"", ""decoherence"", ""quantum information"", ""qubit""]","{""keywords"": [""quantum system"", ""thermal bath"", ""decoherence"", ""quantum information"", ""qubit""]}"
80,"[""quantum computers"", ""decoherence"", ""error correction"", ""fault tolerant methods"", ""qubits""]","{""keywords"": [""quantum computers"", ""decoherence"", ""error correction"", ""fault tolerant methods"", ""qubits""]}"
81,"[""quantum entanglement"", ""quantum information"", ""electromagnetic field"", ""fock states"", ""nonlocal effect""]","{""keywords"": [""quantum entanglement"", ""quantum information"", ""electromagnetic field"", ""fock states"", ""nonlocal effect""]}"
82,"[""quantum learning"", ""pattern matching"", ""quantum systems"", ""machine learning"", ""bayes optimal""]","{""keywords"": [""quantum learning"", ""pattern matching"", ""quantum systems"", ""machine learning"", ""bayes optimal""]}"
83,"[""fuzzy systems"", ""action aggregation"", ""defuzzification techniques"", ""mamdani type"", ""fuzzy response""]","{""keywords"": [""fuzzy systems"", ""action aggregation"", ""defuzzification techniques"", ""mamdani type"", ""fuzzy response""]}"
84,"[""robot hand"", ""shape memory alloy"", ""anthropomorphic grasping"", ""fine manipulation"", ""actuator design""]","{""keywords"": [""robot hand"", ""shape memory alloy"", ""anthropomorphic grasping"", ""fine manipulation"", ""actuator design""]}"
85,"[""quantum information"", ""decoherence control"", ""quantum algorithms"", ""randomness exploitation"", ""stochastic control""]","{""keywords"": [""quantum information"", ""decoherence control"", ""quantum algorithms"", ""randomness exploitation"", ""stochastic control""]}"
86,"[""active braking"", ""caravan stability"", ""vibration suppression"", ""trailer design"", ""braking system""]","{""keywords"": [""active braking"", ""caravan stability"", ""vibration suppression"", ""trailer design"", ""braking system""]}"
87,"[""parabolic problems"", ""banach space"", ""operator splitting"", ""stability properties"", ""semilinear equations""]","{""keywords"": [""parabolic problems"", ""banach space"", ""operator splitting"", ""stability properties"", ""semilinear equations""]}"
88,"[""boundary value problems"", ""numerical approximation"", ""nonlinear problems"", ""newton method"", ""boundary value methods""]","{""keywords"": [""boundary value problems"", ""numerical approximation"", ""nonlinear problems"", ""newton method"", ""boundary value methods""]}"
89,"[""differential algebraic systems"", ""numerical integration method"", ""ordinary differential equations"", ""hilbert spaces"", ""partial differential equations""]","{""keywords"": [""differential algebraic systems"", ""numerical integration method"", ""ordinary differential equations"", ""hilbert spaces"", ""partial differential equations""]}"
90,"[""partial differential algebraic equations"", ""quasi linear equations"", ""convection type"", ""plasma physics"", ""numerical solution""]","{""keywords"": [""partial differential algebraic equations"", ""quasi linear equations"", ""convection type"", ""plasma physics"", ""numerical solution""]}"
91,"[""variable stepsize method"", ""perturbed linear problems"", ""multistep integration"", ""taylor series expansion"", ""numerical integration""]","{""keywords"": [""variable stepsize method"", ""perturbed linear problems"", ""multistep integration"", ""taylor series expansion"", ""numerical integration""]}"
92,"[""initial value problems"", ""ordinary differential equations"", ""interval methods"", ""taylor series methods"", ""numerical analysis""]","{""keywords"": [""initial value problems"", ""ordinary differential equations"", ""interval methods"", ""taylor series methods"", ""numerical analysis""]}"
93,"[""differential systems"", ""multistage integration"", ""newton iterations"", ""numerical methods"", ""stiff systems""]","{""keywords"": [""differential systems"", ""multistage integration"", ""newton iterations"", ""numerical methods"", ""stiff systems""]}"
94,"[""parallel computing"", ""predictor corrector methods"", ""numerical stability"", ""initial value problems"", ""finite precision arithmetic""]","{""keywords"": [""parallel computing"", ""predictor corrector methods"", ""numerical stability"", ""initial value problems"", ""finite precision arithmetic""]}"
95,"[""convergence analysis"", ""splitting scheme"", ""initial boundary value problems"", ""convection diffusion reaction"", ""stabilizing corrections""]","{""keywords"": [""convergence analysis"", ""splitting scheme"", ""initial boundary value problems"", ""convection diffusion reaction"", ""stabilizing corrections""]}"
96,"[""entanglement measure"", ""dense coding"", ""bipartite states"", ""quantum operations"", ""classical communications""]","{""keywords"": [""entanglement measure"", ""dense coding"", ""bipartite states"", ""quantum operations"", ""classical communications""]}"
97,"[""linear multistep methods"", ""ordinary differential equations"", ""numerical solution"", ""stiff systems"", ""euclidean norm""]","{""keywords"": [""linear multistep methods"", ""ordinary differential equations"", ""numerical solution"", ""stiff systems"", ""euclidean norm""]}"
98,"[""car caravan snaking"", ""pintle pin friction"", ""mathematical modeling"", ""vehicle stability"", ""coulomb friction""]","{""keywords"": [""car caravan snaking"", ""pintle pin friction"", ""mathematical modeling"", ""vehicle stability"", ""coulomb friction""]}"
99,"[""ambulance transportation"", ""ride quality"", ""stretcher design"", ""motion sickness"", ""patient comfort""]","{""keywords"": [""ambulance transportation"", ""ride quality"", ""stretcher design"", ""motion sickness"", ""patient comfort""]}"
100,"[""fuzzy logic"", ""thermal stress"", ""combined cycle power"", ""proportional integral derivative"", ""steam turbine""]","{""keywords"": [""fuzzy logic"", ""thermal stress"", ""combined cycle power"", ""proportional integral derivative"", ""steam turbine""]}"
101,"[""collaborative information space"", ""knowledge management"", ""business processes"", ""information systems"", ""distributed data""]","{""keywords"": [""collaborative information space"", ""knowledge management"", ""business processes"", ""information systems"", ""distributed data""]}"
102,"[""pattern recognition"", ""condition monitoring"", ""fault diagnosis"", ""neural networks"", ""real time monitoring""]","{""keywords"": [""pattern recognition"", ""condition monitoring"", ""fault diagnosis"", ""neural networks"", ""real time monitoring""]}"
103,"[""manufacturing control"", ""dynamic job routing"", ""distributed control system"", ""discrete event simulation"", ""production scheduling""]","{""keywords"": [""manufacturing control"", ""dynamic job routing"", ""distributed control system"", ""discrete event simulation"", ""production scheduling""]}"
104,"[""arc welding"", ""electromagnetic sensor"", ""seam tracking"", ""sheet metal"", ""weld line""]","{""keywords"": [""arc welding"", ""electromagnetic sensor"", ""seam tracking"", ""sheet metal"", ""weld line""]}"
105,"[""arc instability"", ""gas metal arc welding"", ""weld quality"", ""arc voltage"", ""metal transfer""]","{""keywords"": [""arc instability"", ""gas metal arc welding"", ""weld quality"", ""arc voltage"", ""metal transfer""]}"
106,"[""computer aided design"", ""manufacturing process"", ""numerical control milling"", ""design for manufacturability"", ""cad system""]","{""keywords"": [""computer aided design"", ""manufacturing process"", ""numerical control milling"", ""design for manufacturability"", ""cad system""]}"
107,"[""social capital"", ""innovation"", ""manufacturing firms"", ""structural capital"", ""cognitive capital""]","{""keywords"": [""social capital"", ""innovation"", ""manufacturing firms"", ""structural capital"", ""cognitive capital""]}"
108,"[""chaotic systems"", ""observer based synchronization"", ""piecewise linear dynamics"", ""stability results"", ""simulation results""]","{""keywords"": [""chaotic systems"", ""observer based synchronization"", ""piecewise linear dynamics"", ""stability results"", ""simulation results""]}"
109,"[""feature detection"", ""algorithms"", ""geometric modelling"", ""computer aided design"", ""feature recognition""]","{""keywords"": [""feature detection"", ""algorithms"", ""geometric modelling"", ""computer aided design"", ""feature recognition""]}"
110,"[""geometric models"", ""feature detection"", ""convex hull method"", ""protrusion faces"", ""feature recognition algorithms""]","{""keywords"": [""geometric models"", ""feature detection"", ""convex hull method"", ""protrusion faces"", ""feature recognition algorithms""]}"
111,"[""health level seven"", ""electronic data exchange"", ""message object model"", ""hospital information systems"", ""encoding framework""]","{""keywords"": [""health level seven"", ""electronic data exchange"", ""message object model"", ""hospital information systems"", ""encoding framework""]}"
112,"[""autonomic computing"", ""reliable computing"", ""self managed systems"", ""computer crashes"", ""it industry""]","{""keywords"": [""autonomic computing"", ""reliable computing"", ""self managed systems"", ""computer crashes"", ""it industry""]}"
113,"[""multi view images"", ""pipelined architecture"", ""image decoding"", ""depth extraction"", ""image processing""]","{""keywords"": [""multi view images"", ""pipelined architecture"", ""image decoding"", ""depth extraction"", ""image processing""]}"
114,"[""thermal performance"", ""artificial intelligence"", ""signal validation"", ""nuclear reactor"", ""performance monitoring""]","{""keywords"": [""thermal performance"", ""artificial intelligence"", ""signal validation"", ""nuclear reactor"", ""performance monitoring""]}"
115,"[""human factors"", ""control room design"", ""computer based support"", ""system safety"", ""virtual reality""]","{""keywords"": [""human factors"", ""control room design"", ""computer based support"", ""system safety"", ""virtual reality""]}"
116,"[""dimensional metrology"", ""geometric dimensioning"", ""tolerancing"", ""computer visualization"", ""interoperability standards""]","{""keywords"": [""dimensional metrology"", ""geometric dimensioning"", ""tolerancing"", ""computer visualization"", ""interoperability standards""]}"
117,"[""xray microtomography"", ""cement microstructure"", ""portland cement"", ""three dimensional imaging"", ""microstructural analysis""]","{""keywords"": [""xray microtomography"", ""cement microstructure"", ""portland cement"", ""three dimensional imaging"", ""microstructural analysis""]}"
118,"[""database design"", ""gamma acyclic scheme"", ""relational scheme"", ""query performance"", ""database system""]","{""keywords"": [""database design"", ""gamma acyclic scheme"", ""relational scheme"", ""query performance"", ""database system""]}"
119,"[""chaotic systems"", ""lyapunov stability"", ""adaptive control"", ""synchronization method"", ""numerical simulation""]","{""keywords"": [""chaotic systems"", ""lyapunov stability"", ""adaptive control"", ""synchronization method"", ""numerical simulation""]}"
120,"[""smoke simulation"", ""particle systems"", ""density functions"", ""airflow control"", ""rendering techniques""]","{""keywords"": [""smoke simulation"", ""particle systems"", ""density functions"", ""airflow control"", ""rendering techniques""]}"
121,"[""recursive sets"", ""degree theory"", ""semilattice structure"", ""computability theory"", ""nonzero elements""]","{""keywords"": [""recursive sets"", ""degree theory"", ""semilattice structure"", ""computability theory"", ""nonzero elements""]}"
122,"[""parametric surfaces"", ""subdivision surfaces"", ""bicubic b-spline"", ""piecewise smooth surfaces"", ""boundary blending""]","{""keywords"": [""parametric surfaces"", ""subdivision surfaces"", ""bicubic b-spline"", ""piecewise smooth surfaces"", ""boundary blending""]}"
123,"[""speech recognition"", ""keyword confidence"", ""language model"", ""hidden markov model"", ""word spotting""]","{""keywords"": [""speech recognition"", ""keyword confidence"", ""language model"", ""hidden markov model"", ""word spotting""]}"
124,"[""algebraic modelling"", ""distributed problem solving"", ""multi agent systems"", ""social dynamics"", ""task allocation""]","{""keywords"": [""algebraic modelling"", ""distributed problem solving"", ""multi agent systems"", ""social dynamics"", ""task allocation""]}"
125,"[""multiresolution analysis"", ""wavelet representations"", ""image compression"", ""signal compression"", ""numerical analysis""]","{""keywords"": [""multiresolution analysis"", ""wavelet representations"", ""image compression"", ""signal compression"", ""numerical analysis""]}"
126,"[""machine translation"", ""natural language processing"", ""interlingua system"", ""chinese language"", ""syntactic parsing""]","{""keywords"": [""machine translation"", ""natural language processing"", ""interlingua system"", ""chinese language"", ""syntactic parsing""]}"
127,"[""security protocols"", ""attack construction"", ""strand space model"", ""protocol execution"", ""intruder knowledge""]","{""keywords"": [""security protocols"", ""attack construction"", ""strand space model"", ""protocol execution"", ""intruder knowledge""]}"
128,"[""run time analysis"", ""parallelizing compilers"", ""data flow"", ""compiler optimization"", ""parallel processing""]","{""keywords"": [""run time analysis"", ""parallelizing compilers"", ""data flow"", ""compiler optimization"", ""parallel processing""]}"
129,"[""software configuration management"", ""component based development"", ""software development"", ""configuration items"", ""system management""]","{""keywords"": [""software configuration management"", ""component based development"", ""software development"", ""configuration items"", ""system management""]}"
