eid,keyword,max_sim_original_seen,max_sim_sentence
2-s2.0-85072334780,technology influence,0.610096275806427,0.49263128638267517
2-s2.0-78149264474,parental education level,0.14338459074497223,0.6407121419906616
2-s2.0-53449087210,youth education,,0.5049664378166199
2-s2.0-85076772260,digital platform,0.6639028191566467,0.4057796001434326
2-s2.0-84954433700,mathematical relationships,0.6103769540786743,0.4965137243270874
2-s2.0-85217249803,primary education,0.4899125397205353,0.47919780015945435
2-s2.0-85075205281,technological integration,0.614678144454956,0.383211225271225
2-s2.0-85150803176,mathematics anxiety,0.6599470376968384,0.6790628433227539
2-s2.0-84890819120,stem education,0.3968935012817383,0.626126766204834
2-s2.0-85087493077,mathematics education,0.5763995051383972,0.5853617191314697
2-s2.0-84874122321,ethnic disparities,0.3032340407371521,0.6071248054504395
2-s2.0-85153864112,probability statistics,0.30920490622520447,0.4649151861667633
2-s2.0-32544455336,mathematics education,0.6657382845878601,0.5910423398017883
2-s2.0-84966747133,children s education,0.3391674757003784,0.5915936231613159
2-s2.0-85161803333,mathematics education,0.6375567317008972,0.5236925482749939
2-s2.0-0344253672,mathematics education,0.6069726943969727,0.5897991061210632
2-s2.0-85204247730,information communication technology,0.5868476629257202,0.42142683267593384
2-s2.0-85178491685,geoebra,0.3929661512374878,0.5016493797302246
2-s2.0-84859139578,mathematics education,0.31802308559417725,0.3825281858444214
2-s2.0-85085293009,mathematics education,0.4508102536201477,0.5956798195838928
2-s2.0-84948448825,teacher work,0.3169279992580414,0.434637188911438
2-s2.0-85029118002,mathematics education,0.6101576089859009,0.6657784581184387
2-s2.0-77949513749,mathematics education,0.6078439950942993,0.6073195934295654
2-s2.0-84905757815,mathematics education,0.4341345429420471,0.5026830434799194
2-s2.0-85023979116,school curriculum,0.5929970741271973,0.5550077557563782
2-s2.0-8644265989,teacher confidence,0.6412399411201477,0.611068069934845
2-s2.0-85047351272,classroom,0.4326598644256592,0.5434657335281372
2-s2.0-85133582501,stem education,0.6792310476303101,0.2992284297943115
2-s2.0-85066182537,mathematics education,0.5745783448219299,0.374805748462677
2-s2.0-85124372997,teacher development,0.6155329942703247,0.587218701839447
2-s2.0-85029047520,mathematics education,0.5990411043167114,0.468080997467041
2-s2.0-85135974455,curriculum reform,0.6414980888366699,0.5974043607711792
2-s2.0-84924152416,mathematical analysis,0.6738042831420898,0.6199586391448975
2-s2.0-84994795316,collaborative learning,0.5404223203659058,0.5366073846817017
2-s2.0-85190706686,mathematics education,0.39261457324028015,0.6556912064552307
2-s2.0-85085497962,physics education,0.6554032564163208,0.5186941623687744
2-s2.0-0036057951,mathematics education,0.5990411043167114,0.6300102472305298
2-s2.0-84908674162,sociological frameworks,0.5643157362937927,0.4647447466850281
2-s2.0-85186065376,nonlinear thinking,0.5277928113937378,0.4965784251689911
2-s2.0-84904123343,nonlinear equations,0.4189310371875763,0.6438292264938354
2-s2.0-85215571850,visual impairment,0.3978637754917145,0.6333896517753601
2-s2.0-84885763070,disciplinary foundation,0.5306780934333801,0.4393877387046814
2-s2.0-85053375318,career development,0.6656082272529602,0.38242653012275696
2-s2.0-84897588099,semiconductor,,0.5063680410385132
2-s2.0-0342313511,mathematics education,0.5806114673614502,0.3864612579345703
2-s2.0-85054644997,radical revision,0.47378063201904297,0.5514510869979858
2-s2.0-85070595303,politics of education,0.6720584034919739,0.6491270065307617
2-s2.0-84890147770,socioeconomic background,0.30852097272872925,0.5266008377075195
2-s2.0-85164732416,student performance,0.47400158643722534,0.5879761576652527
2-s2.0-85063738828,anxiety level,0.6569259166717529,0.6529526710510254
2-s2.0-85078726726,stem education,0.6441723108291626,0.5502498149871826
2-s2.0-85120354485,early intervention,0.37737447023391724,0.4852387309074402
2-s2.0-81155159677,sami,0.6776597499847412,0.3803900182247162
2-s2.0-85087886253,mathematics education,0.6154170632362366,0.5530732274055481
2-s2.0-78650039447,poche,0.41075801849365234,0.38361138105392456
2-s2.0-33845867686,reading skills,0.41958531737327576,0.3045997619628906
2-s2.0-84895414027,student learning,0.4827823042869568,0.401675283908844
2-s2.0-85060689076,teaching computing,0.4441349506378174,0.6768919825553894
2-s2.0-85132658943,mathematics education,0.45292624831199646,0.3718051016330719
2-s2.0-85048513380,mathematics education,0.6101576089859009,0.4186098873615265
2-s2.0-78650238545,science education,0.6954521536827087,0.5270975232124329
2-s2.0-84997173296,mathematics education,0.6101576089859009,0.4824675917625427
2-s2.0-105000283184,gender differences,0.19770142436027527,0.43135958909988403
2-s2.0-85082440417,stem education,0.6441723108291626,0.4108198285102844
2-s2.0-85003605021,positioning theory,0.36391592025756836,0.5592626929283142
2-s2.0-85212819649,phenomenological perspectives,0.3209591507911682,0.389181524515152
2-s2.0-85096553532,montessori method,0.47403645515441895,0.36454838514328003
2-s2.0-0346383936,mathematics education,0.3392713963985443,0.6641039848327637
2-s2.0-85136497870,stem education,0.6071349382400513,0.5414369106292725
2-s2.0-84999289143,mathematics technology engineering,0.3823390305042267,0.5271421670913696
2-s2.0-85082186220,stem education,0.42438745498657227,0.41124996542930603
2-s2.0-85019424238,student attitudes,0.37418481707572937,0.5155730843544006
2-s2.0-77049084304,processing language,,0.5812182426452637
2-s2.0-85080955350,interdisciplinary,0.618366539478302,0.4756515324115753
2-s2.0-84944111506,equity oriented learning,0.43533310294151306,0.5752407908439636
2-s2.0-85104117713,mathematics education,0.5727463364601135,0.4151994585990906
2-s2.0-80051958099,remote education,0.5111054182052612,0.6125109195709229
2-s2.0-84866617505,education,0.6973424553871155,0.3557835817337036
2-s2.0-84858975852,socio cultural theory,0.3573862910270691,0.4211207628250122
2-s2.0-84983297322,mathematics education,,0.4810103178024292
2-s2.0-84903665664,underrepresented groups,0.6616148948669434,0.456284761428833
2-s2.0-85039073719,teacher behavior,0.5196384191513062,0.600132942199707
2-s2.0-0036336430,classroom discussion,0.6734672784805298,0.674213171005249
2-s2.0-79960316583,classroom environment,0.6947124004364014,0.5896090269088745
2-s2.0-85132820555,stem education,0.5993087291717529,0.5537120699882507
2-s2.0-85056734349,math education,0.6010828614234924,0.3470694422721863
2-s2.0-8744290914,science education,0.6954521536827087,0.5804639458656311
2-s2.0-105001034522,mathematical representation,0.5427585244178772,0.35282808542251587
2-s2.0-84901264039,science education,0.6816544532775879,0.49509578943252563
2-s2.0-85006423732,teaching learning,0.5760136842727661,0.5592683553695679
2-s2.0-85142818722,teacher training,0.6664329767227173,0.4042285084724426
2-s2.0-85106423129,teacher leadership,0.24575555324554443,0.5072807669639587
2-s2.0-85051519510,science technology engineering mathematics,0.35713714361190796,0.4586712121963501
2-s2.0-79958824438,treatment response,0.6719803810119629,0.48672863841056824
2-s2.0-84866856759,scale literacy,0.4794539213180542,0.6575140953063965
2-s2.0-85057305623,mathematics education,0.5745783448219299,0.46465134620666504
2-s2.0-105006983934,physics education,0.5412108302116394,0.49901705980300903
2-s2.0-85150542991,interdisciplinary education,0.6799037456512451,0.611249566078186
2-s2.0-85029112631,light properties,0.23989027738571167,0.5475150346755981
