row_abs,keywords_llm,raw_response
12,"[""mathematics education"", ""logistic equation"", ""qualitative analysis"", ""mathematical modeling"", ""educational contexts""]","{""keywords"": [""mathematics education"", ""logistic equation"", ""qualitative analysis"", ""mathematical modeling"", ""educational contexts""]}"
13,"[""mathematical thinking"", ""educational apps"", ""early childhood education"", ""mathematical learning"", ""cognitive fundamentals""]","{""keywords"": [""mathematical thinking"", ""educational apps"", ""early childhood education"", ""mathematical learning"", ""cognitive fundamentals""]}"
14,"[""mathematical proof"", ""higher education"", ""mathematics education"", ""students' understanding"", ""formalization levels""]","{""keywords"": [""mathematical proof"", ""higher education"", ""mathematics education"", ""students' understanding"", ""formalization levels""]}"
15,"[""mental objects"", ""improper fraction"", ""realistic mathematics education"", ""design experiment"", ""mathematization""]","{""keywords"": [""mental objects"", ""improper fraction"", ""realistic mathematics education"", ""design experiment"", ""mathematization""]}"
16,"[""mathematics education"", ""responsibility"", ""dialogism"", ""biodiversity"", ""ethics""]","{""keywords"": [""mathematics education"", ""responsibility"", ""dialogism"", ""biodiversity"", ""ethics""]}"
17,"[""mathematics education"", ""cartography"", ""research group"", ""hip hop culture"", ""fieldwork""]","{""keywords"": [""mathematics education"", ""cartography"", ""research group"", ""hip hop culture"", ""fieldwork""]}"
18,"[""globalisation"", ""ghettoisation"", ""immigrant students"", ""mathematics education"", ""racism""]","{""keywords"": [""globalisation"", ""ghettoisation"", ""immigrant students"", ""mathematics education"", ""racism""]}"
19,"[""mathematics education"", ""sustainable development goals"", ""rural school"", ""ethnomathematics"", ""bibliographic survey""]","{""keywords"": [""mathematics education"", ""sustainable development goals"", ""rural school"", ""ethnomathematics"", ""bibliographic survey""]}"
20,"[""racism"", ""mathematics education"", ""urban classroom"", ""black students"", ""racial identity""]","{""keywords"": [""racism"", ""mathematics education"", ""urban classroom"", ""black students"", ""racial identity""]}"
21,"[""climate change"", ""mathematics education"", ""teacher education"", ""critical thinking"", ""statistics course""]","{""keywords"": [""climate change"", ""mathematics education"", ""teacher education"", ""critical thinking"", ""statistics course""]}"
22,"[""feminist literature review"", ""mathematics education"", ""literature review methodologies"", ""situated knowledge"", ""feminist perspective""]","{""keywords"": [""feminist literature review"", ""mathematics education"", ""literature review methodologies"", ""situated knowledge"", ""feminist perspective""]}"
23,"[""mathematics education"", ""geopolitical south"", ""knowledge making"", ""language migrant"", ""place-based thinking""]","{""keywords"": [""mathematics education"", ""geopolitical south"", ""knowledge making"", ""language migrant"", ""place-based thinking""]}"
24,"[""mathematics education"", ""technology integration"", ""bibliometric study"", ""teacher knowledge"", ""educational technology""]","{""keywords"": [""mathematics education"", ""technology integration"", ""bibliometric study"", ""teacher knowledge"", ""educational technology""]}"
25,"[""mathematics education"", ""chatbots"", ""student learning"", ""evaluation design"", ""artificial intelligence""]","{""keywords"": [""mathematics education"", ""chatbots"", ""student learning"", ""evaluation design"", ""artificial intelligence""]}"
26,"[""mathematics education"", ""vulnerability"", ""literature review"", ""population groups"", ""inclusive education""]","{""keywords"": [""mathematics education"", ""vulnerability"", ""literature review"", ""population groups"", ""inclusive education""]}"
27,"[""mathematics education"", ""early childhood"", ""teacher training"", ""rubric"", ""video analysis""]","{""keywords"": [""mathematics education"", ""early childhood"", ""teacher training"", ""rubric"", ""video analysis""]}"
28,"[""mathematics education"", ""teacher self-efficacy"", ""secondary education"", ""teacher training"", ""content analysis""]","{""keywords"": [""mathematics education"", ""teacher self-efficacy"", ""secondary education"", ""teacher training"", ""content analysis""]}"
29,"[""mathematics education"", ""hamilton's vector formula"", ""critical thinking"", ""problem-solving skills"", ""educational process""]","{""keywords"": [""mathematics education"", ""hamilton's vector formula"", ""critical thinking"", ""problem-solving skills"", ""educational process""]}"
30,"[""mathematics achievement"", ""self-regulation"", ""motivation"", ""socioeconomic status"", ""educational intervention""]","{""keywords"": [""mathematics achievement"", ""self-regulation"", ""motivation"", ""socioeconomic status"", ""educational intervention""]}"
31,"[""mathematics education"", ""augmented reality"", ""virtual reality"", ""academic achievement"", ""inclusive education""]","{""keywords"": [""mathematics education"", ""augmented reality"", ""virtual reality"", ""academic achievement"", ""inclusive education""]}"
32,"[""mathematics education"", ""teacher professional development"", ""student learning"", ""literature review"", ""research instruments""]","{""keywords"": [""mathematics education"", ""teacher professional development"", ""student learning"", ""literature review"", ""research instruments""]}"
33,"[""mathematics education"", ""pedagogical strategies"", ""case study"", ""semiotic mediation"", ""math teacher""]","{""keywords"": [""mathematics education"", ""pedagogical strategies"", ""case study"", ""semiotic mediation"", ""math teacher""]}"
34,"[""mathematics education"", ""pre-service teachers"", ""emerging technological environment"", ""didactic suitability"", ""qualitative research""]","{""keywords"": [""mathematics education"", ""pre-service teachers"", ""emerging technological environment"", ""didactic suitability"", ""qualitative research""]}"
35,"[""mathematics education"", ""statistical accessibility"", ""educational sciences"", ""data analysis"", ""statistical methods""]","{""keywords"": [""mathematics education"", ""statistical accessibility"", ""educational sciences"", ""data analysis"", ""statistical methods""]}"
36,"[""artificial intelligence"", ""mathematics education"", ""systematic review"", ""research applications"", ""teaching learning processes""]","{""keywords"": [""artificial intelligence"", ""mathematics education"", ""systematic review"", ""research applications"", ""teaching learning processes""]}"
37,"[""math anxiety"", ""math teaching anxiety"", ""academic performance"", ""self-confidence"", ""general anxiety""]","{""keywords"": [""math anxiety"", ""math teaching anxiety"", ""academic performance"", ""self-confidence"", ""general anxiety""]}"
38,"[""mathematics education"", ""dialogic perspective"", ""youth education"", ""pedagogical concept"", ""freirean dialogicity""]","{""keywords"": [""mathematics education"", ""dialogic perspective"", ""youth education"", ""pedagogical concept"", ""freirean dialogicity""]}"
39,"[""mathematics education"", ""teacher educators"", ""communicative approaches"", ""pedagogical interactions"", ""student teachers""]","{""keywords"": [""mathematics education"", ""teacher educators"", ""communicative approaches"", ""pedagogical interactions"", ""student teachers""]}"
40,"[""ethnomathematical articulation"", ""mathematics education"", ""culturally diverse classrooms"", ""problem-solving"", ""teacher training""]","{""keywords"": [""ethnomathematical articulation"", ""mathematics education"", ""culturally diverse classrooms"", ""problem-solving"", ""teacher training""]}"
41,"[""sustainable development"", ""statistics education"", ""probability education"", ""primary education"", ""cognitive demand""]","{""keywords"": [""sustainable development"", ""statistics education"", ""probability education"", ""primary education"", ""cognitive demand""]}"
42,"[""mathematics education"", ""historical evolution"", ""research discipline"", ""italian university"", ""academic levels""]","{""keywords"": [""mathematics education"", ""historical evolution"", ""research discipline"", ""italian university"", ""academic levels""]}"
43,"[""mathematical contextualization"", ""problem solving"", ""mathematical competence"", ""pedagogical innovation"", ""teacher training""]","{""keywords"": [""mathematical contextualization"", ""problem solving"", ""mathematical competence"", ""pedagogical innovation"", ""teacher training""]}"
44,"[""artificial intelligence"", ""mathematics education"", ""chatbots"", ""satisfaction"", ""digital competence""]","{""keywords"": [""artificial intelligence"", ""mathematics education"", ""chatbots"", ""satisfaction"", ""digital competence""]}"
45,"[""mathematics education"", ""ethnomathematics"", ""rice pie"", ""measurement processes"", ""school mathematics""]","{""keywords"": [""mathematics education"", ""ethnomathematics"", ""rice pie"", ""measurement processes"", ""school mathematics""]}"
46,"[""mathematical modelling"", ""teacher education"", ""primary school"", ""anthropological theory"", ""didactics""]","{""keywords"": [""mathematical modelling"", ""teacher education"", ""primary school"", ""anthropological theory"", ""didactics""]}"
47,"[""mathematics education"", ""postgraduate studies"", ""venezuela"", ""latin america"", ""thesis""]","{""keywords"": [""mathematics education"", ""postgraduate studies"", ""venezuela"", ""latin america"", ""thesis""]}"
48,"[""mathematics education"", ""primary education"", ""teachers conceptions"", ""teaching context"", ""mathematical skills""]","{""keywords"": [""mathematics education"", ""primary education"", ""teachers conceptions"", ""teaching context"", ""mathematical skills""]}"
49,"[""mathematics education"", ""critical thinking"", ""computational thinking"", ""secondary education"", ""learning outcomes""]","{""keywords"": [""mathematics education"", ""critical thinking"", ""computational thinking"", ""secondary education"", ""learning outcomes""]}"
50,"[""mathematics education"", ""distance learning"", ""pandemic"", ""teacher training"", ""mathematical contents""]","{""keywords"": [""mathematics education"", ""distance learning"", ""pandemic"", ""teacher training"", ""mathematical contents""]}"
51,"[""mathematics education"", ""value judgement"", ""praxeology"", ""didactic paradigm"", ""anthropological theory""]","{""keywords"": [""mathematics education"", ""value judgement"", ""praxeology"", ""didactic paradigm"", ""anthropological theory""]}"
52,"[""mathematics education"", ""secondary education"", ""didactic resources"", ""systematic review"", ""textbook""]","{""keywords"": [""mathematics education"", ""secondary education"", ""didactic resources"", ""systematic review"", ""textbook""]}"
53,"[""mathematics education"", ""virtual reality"", ""children learning"", ""basic mathematics"", ""multidisciplinary group""]","{""keywords"": [""mathematics education"", ""virtual reality"", ""children learning"", ""basic mathematics"", ""multidisciplinary group""]}"
54,"[""mathematics education"", ""research groups"", ""state of art"", ""methodological approaches"", ""scientific production""]","{""keywords"": [""mathematics education"", ""research groups"", ""state of art"", ""methodological approaches"", ""scientific production""]}"
55,"[""mathematical identity"", ""higher education"", ""virtual contexts"", ""mathematics course"", ""covid-19 pandemic""]","{""keywords"": [""mathematical identity"", ""higher education"", ""virtual contexts"", ""mathematics course"", ""covid-19 pandemic""]}"
56,"[""mathematics instructional practices"", ""primary education"", ""teacher role adoption"", ""school experience"", ""beliefs about mathematics""]","{""keywords"": [""mathematics instructional practices"", ""primary education"", ""teacher role adoption"", ""school experience"", ""beliefs about mathematics""]}"
57,"[""mathematics education"", ""doctoral theses"", ""scientific impact"", ""evaluation criteria"", ""university research""]","{""keywords"": [""mathematics education"", ""doctoral theses"", ""scientific impact"", ""evaluation criteria"", ""university research""]}"
58,"[""mathematics education"", ""value judgements"", ""didactics"", ""anthropological theory"", ""ontosemiotic approach""]","{""keywords"": [""mathematics education"", ""value judgements"", ""didactics"", ""anthropological theory"", ""ontosemiotic approach""]}"
59,"[""participatory research"", ""mathematics education"", ""critical pedagogy"", ""high school students"", ""action research""]","{""keywords"": [""participatory research"", ""mathematics education"", ""critical pedagogy"", ""high school students"", ""action research""]}"
60,"[""black african immigrants"", ""mathematics education"", ""race and racism"", ""social justice"", ""duoethnography""]","{""keywords"": [""black african immigrants"", ""mathematics education"", ""race and racism"", ""social justice"", ""duoethnography""]}"
61,"[""mathematics education"", ""knowledge production"", ""aesthetic issues"", ""violence in education"", ""epistemological anarchism""]","{""keywords"": [""mathematics education"", ""knowledge production"", ""aesthetic issues"", ""violence in education"", ""epistemological anarchism""]}"
62,"[""mathematics education"", ""video production"", ""social issues"", ""mathematical knowledge"", ""pedagogical residency""]","{""keywords"": [""mathematics education"", ""video production"", ""social issues"", ""mathematical knowledge"", ""pedagogical residency""]}"
63,"[""mathematics education"", ""heteronormativity"", ""social justice"", ""lgbtqiap+"", ""mathematical knowledge""]","{""keywords"": [""mathematics education"", ""heteronormativity"", ""social justice"", ""lgbtqiap+"", ""mathematical knowledge""]}"
64,"[""mathematics education"", ""students perspectives"", ""relevance of math"", ""critical mathematics education"", ""mathematical skills""]","{""keywords"": [""mathematics education"", ""students perspectives"", ""relevance of math"", ""critical mathematics education"", ""mathematical skills""]}"
65,"[""human rights"", ""critical mathematics education"", ""pedagogical action"", ""political decisions"", ""social transformation""]","{""keywords"": [""human rights"", ""critical mathematics education"", ""pedagogical action"", ""political decisions"", ""social transformation""]}"
66,"[""critical mathematics education"", ""teacher empowerment"", ""liberating education"", ""dialogical analysis"", ""bureaucratization""]","{""keywords"": [""critical mathematics education"", ""teacher empowerment"", ""liberating education"", ""dialogical analysis"", ""bureaucratization""]}"
67,"[""mathematics education"", ""educational experience"", ""purpose"", ""john dewey"", ""constructionism""]","{""keywords"": [""mathematics education"", ""educational experience"", ""purpose"", ""john dewey"", ""constructionism""]}"
68,"[""critical mathematics education"", ""mathematics teaching"", ""students' perspectives"", ""classroom setting"", ""instructional approach""]","{""keywords"": [""critical mathematics education"", ""mathematics teaching"", ""students' perspectives"", ""classroom setting"", ""instructional approach""]}"
69,"[""mathematics education"", ""labor"", ""rural school"", ""undergraduate student"", ""marxist framework""]","{""keywords"": [""mathematics education"", ""labor"", ""rural school"", ""undergraduate student"", ""marxist framework""]}"
70,"[""gifted students"", ""mathematics education"", ""critical education"", ""discrimination"", ""inclusion""]","{""keywords"": [""gifted students"", ""mathematics education"", ""critical education"", ""discrimination"", ""inclusion""]}"
71,"[""amazon forest"", ""mathematics education"", ""yanomami people"", ""decolonial ways"", ""social justice""]","{""keywords"": [""amazon forest"", ""mathematics education"", ""yanomami people"", ""decolonial ways"", ""social justice""]}"
72,"[""mathematics education"", ""decolonizing"", ""western mathematics"", ""indigenous mental powers"", ""pedagogical approach""]","{""keywords"": [""mathematics education"", ""decolonizing"", ""western mathematics"", ""indigenous mental powers"", ""pedagogical approach""]}"
73,"[""mathematics education"", ""teacher training"", ""ethnic-racial relations"", ""brazilian education"", ""curriculum design""]","{""keywords"": [""mathematics education"", ""teacher training"", ""ethnic-racial relations"", ""brazilian education"", ""curriculum design""]}"
74,"[""white supremacy"", ""settler colonialism"", ""mathematics education"", ""social justice"", ""equity""]","{""keywords"": [""white supremacy"", ""settler colonialism"", ""mathematics education"", ""social justice"", ""equity""]}"
75,"[""mathematics education"", ""socio-political approach"", ""colombia"", ""critical mathematics education"", ""social justice""]","{""keywords"": [""mathematics education"", ""socio-political approach"", ""colombia"", ""critical mathematics education"", ""social justice""]}"
76,"[""mathematics education"", ""critical mathematics"", ""ethnomathematics"", ""political subject"", ""biographical-narrative research""]","{""keywords"": [""mathematics education"", ""critical mathematics"", ""ethnomathematics"", ""political subject"", ""biographical-narrative research""]}"
77,"[""mathematical programming"", ""education"", ""gender equality"", ""primary education"", ""educational technology""]","{""keywords"": [""mathematical programming"", ""education"", ""gender equality"", ""primary education"", ""educational technology""]}"
78,"[""mathematics education"", ""secondary education"", ""lego"", ""robotics"", ""constructivist teaching""]","{""keywords"": [""mathematics education"", ""secondary education"", ""lego"", ""robotics"", ""constructivist teaching""]}"
79,"[""mathematics education"", ""primary education"", ""virtual simulation"", ""mathematical competence"", ""quantity problems""]","{""keywords"": [""mathematics education"", ""primary education"", ""virtual simulation"", ""mathematical competence"", ""quantity problems""]}"
80,"[""mathematics education"", ""disability"", ""inclusive education"", ""teaching methods"", ""special education""]","{""keywords"": [""mathematics education"", ""disability"", ""inclusive education"", ""teaching methods"", ""special education""]}"
81,"[""ideb algorithm"", ""brazilian education"", ""statistical-mathematical analysis"", ""quality education"", ""mec/inep professionals""]","{""keywords"": [""ideb algorithm"", ""brazilian education"", ""statistical-mathematical analysis"", ""quality education"", ""mec/inep professionals""]}"
82,"[""mathematical competence"", ""primary school"", ""physical education"", ""mathematics education"", ""case study""]","{""keywords"": [""mathematical competence"", ""primary school"", ""physical education"", ""mathematics education"", ""case study""]}"
83,"[""mathematical competence"", ""university students"", ""education degrees"", ""math education"", ""self-perception""]","{""keywords"": [""mathematical competence"", ""university students"", ""education degrees"", ""math education"", ""self-perception""]}"
84,"[""mathematics education"", ""olympiad"", ""competition"", ""community"", ""education""]","{""keywords"": [""mathematics education"", ""olympiad"", ""competition"", ""community"", ""education""]}"
85,"[""mathematics education"", ""social inequality"", ""curriculum"", ""diversity"", ""social subjectivities""]","{""keywords"": [""mathematics education"", ""social inequality"", ""curriculum"", ""diversity"", ""social subjectivities""]}"
86,"[""mathematics education"", ""social studies"", ""marxist theory"", ""poststructuralists"", ""power dynamics""]","{""keywords"": [""mathematics education"", ""social studies"", ""marxist theory"", ""poststructuralists"", ""power dynamics""]}"
87,"[""critical mathematics education"", ""ethnomathematics"", ""social justice"", ""mathematics education"", ""socio-political structuring""]","{""keywords"": [""critical mathematics education"", ""ethnomathematics"", ""social justice"", ""mathematics education"", ""socio-political structuring""]}"
88,"[""mathematics education"", ""educational policies"", ""diversity"", ""normal student"", ""hegemony""]","{""keywords"": [""mathematics education"", ""educational policies"", ""diversity"", ""normal student"", ""hegemony""]}"
89,"[""mathematics education"", ""rural secondary education"", ""flexible teaching"", ""covid-19 pandemic"", ""learning achievement""]","{""keywords"": [""mathematics education"", ""rural secondary education"", ""flexible teaching"", ""covid-19 pandemic"", ""learning achievement""]}"
90,"[""mathematics education"", ""decolonial movements"", ""african knowledge"", ""epistemology"", ""dialogues""]","{""keywords"": [""mathematics education"", ""decolonial movements"", ""african knowledge"", ""epistemology"", ""dialogues""]}"
91,"[""mathematics education"", ""autism spectrum disorder"", ""inclusive education"", ""dialogical communicative acts"", ""case study""]","{""keywords"": [""mathematics education"", ""autism spectrum disorder"", ""inclusive education"", ""dialogical communicative acts"", ""case study""]}"
92,"[""digital skills"", ""mathematics education"", ""higher education"", ""teaching competence"", ""problem solving""]","{""keywords"": [""digital skills"", ""mathematics education"", ""higher education"", ""teaching competence"", ""problem solving""]}"
93,"[""mathematics education"", ""teacher training"", ""epistemology"", ""scientific research"", ""pedagogy""]","{""keywords"": [""mathematics education"", ""teacher training"", ""epistemology"", ""scientific research"", ""pedagogy""]}"
94,"[""mathematics education"", ""school environment"", ""evaluation program"", ""teaching practices"", ""teacher autonomy""]","{""keywords"": [""mathematics education"", ""school environment"", ""evaluation program"", ""teaching practices"", ""teacher autonomy""]}"
95,"[""math anxiety"", ""primary education"", ""covid-19"", ""gender"", ""age""]","{""keywords"": [""math anxiety"", ""primary education"", ""covid-19"", ""gender"", ""age""]}"
96,"[""mathematics education"", ""decolonial"", ""transcomplex"", ""sentipensante"", ""transphilosophy""]","{""keywords"": [""mathematics education"", ""decolonial"", ""transcomplex"", ""sentipensante"", ""transphilosophy""]}"
97,"[""mathematics education"", ""primary education"", ""multibase material"", ""ontosemiotic analysis"", ""numerical concepts""]","{""keywords"": [""mathematics education"", ""primary education"", ""multibase material"", ""ontosemiotic analysis"", ""numerical concepts""]}"
98,"[""mathematics education"", ""didactic suitability"", ""virtual education"", ""ontosemiotic approach"", ""collegial collaboration""]","{""keywords"": [""mathematics education"", ""didactic suitability"", ""virtual education"", ""ontosemiotic approach"", ""collegial collaboration""]}"
99,"[""mathematics education"", ""gamification"", ""teaching methods"", ""student learning"", ""educational technology""]","{""keywords"": [""mathematics education"", ""gamification"", ""teaching methods"", ""student learning"", ""educational technology""]}"
100,"[""numerical ability"", ""cognitive psychology"", ""mathematics education"", ""early development"", ""numerical cognition""]","{""keywords"": [""numerical ability"", ""cognitive psychology"", ""mathematics education"", ""early development"", ""numerical cognition""]}"
101,"[""mathematics education"", ""piagetian psychology"", ""basic higher education"", ""quantitative approach"", ""mathematics area""]","{""keywords"": [""mathematics education"", ""piagetian psychology"", ""basic higher education"", ""quantitative approach"", ""mathematics area""]}"
102,"[""statistical education"", ""critical mathematics education"", ""literacy"", ""reasoning"", ""participatory citizens""]","{""keywords"": [""statistical education"", ""critical mathematics education"", ""literacy"", ""reasoning"", ""participatory citizens""]}"
103,"[""mathematics education"", ""gender bias"", ""costa rican education"", ""secondary education"", ""perception of mathematics""]","{""keywords"": [""mathematics education"", ""gender bias"", ""costa rican education"", ""secondary education"", ""perception of mathematics""]}"
104,"[""mathematics education"", ""argumentation"", ""childhood"", ""mathematics classroom"", ""argumentative situation""]","{""keywords"": [""mathematics education"", ""argumentation"", ""childhood"", ""mathematics classroom"", ""argumentative situation""]}"
105,"[""mathematical education"", ""preservice teachers"", ""primary education"", ""mathematical knowledge"", ""pedagogical content""]","{""keywords"": [""mathematical education"", ""preservice teachers"", ""primary education"", ""mathematical knowledge"", ""pedagogical content""]}"
106,"[""higher education"", ""operational research"", ""performance measurement"", ""capacity planning"", ""system dynamics""]","{""keywords"": [""higher education"", ""operational research"", ""performance measurement"", ""capacity planning"", ""system dynamics""]}"
107,"[""mathematics education"", ""microbiology"", ""covid-19 pandemic"", ""technology tools"", ""sts approach""]","{""keywords"": [""mathematics education"", ""microbiology"", ""covid-19 pandemic"", ""technology tools"", ""sts approach""]}"
108,"[""inclusive mathematics education"", ""master's program"", ""boyaca colombia"", ""mathematics teachers"", ""inclusive education""]","{""keywords"": [""inclusive mathematics education"", ""master's program"", ""boyaca colombia"", ""mathematics teachers"", ""inclusive education""]}"
109,"[""mathematics education"", ""decolonial"", ""freirian"", ""liberation"", ""transcomplex""]","{""keywords"": [""mathematics education"", ""decolonial"", ""freirian"", ""liberation"", ""transcomplex""]}"
110,"[""mathematics education"", ""teacher diary"", ""specialized knowledge"", ""mathematical knowledge"", ""school planning""]","{""keywords"": [""mathematics education"", ""teacher diary"", ""specialized knowledge"", ""mathematical knowledge"", ""school planning""]}"
111,"[""mathematics education"", ""secondary school"", ""sao tome and principe"", ""educational system"", ""curricula""]","{""keywords"": [""mathematics education"", ""secondary school"", ""sao tome and principe"", ""educational system"", ""curricula""]}"
112,"[""mathematical modeling"", ""elementary education"", ""interdisciplinary learning"", ""hydraulic arm"", ""linear variation""]","{""keywords"": [""mathematical modeling"", ""elementary education"", ""interdisciplinary learning"", ""hydraulic arm"", ""linear variation""]}"
113,"[""mathematical knowledge"", ""teacher education"", ""early childhood"", ""pedagogical knowledge"", ""teaching practice""]","{""keywords"": [""mathematical knowledge"", ""teacher education"", ""early childhood"", ""pedagogical knowledge"", ""teaching practice""]}"
114,"[""mathematics education"", ""serious games"", ""primary education"", ""mathematics fluency"", ""gamification""]","{""keywords"": [""mathematics education"", ""serious games"", ""primary education"", ""mathematics fluency"", ""gamification""]}"
115,"[""mathematics education"", ""spanish-speaking countries"", ""open access documentation"", ""educational levels"", ""pedagogical notions""]","{""keywords"": [""mathematics education"", ""spanish-speaking countries"", ""open access documentation"", ""educational levels"", ""pedagogical notions""]}"
116,"[""mathematics education"", ""decroly method"", ""educational games"", ""school supplies"", ""mathematical content""]","{""keywords"": [""mathematics education"", ""decroly method"", ""educational games"", ""school supplies"", ""mathematical content""]}"
117,"[""mathematics education"", ""colombian community"", ""research innovation"", ""mathematics topics"", ""educational level""]","{""keywords"": [""mathematics education"", ""colombian community"", ""research innovation"", ""mathematics topics"", ""educational level""]}"
118,"[""mathematical competence"", ""problem based learning"", ""primary education"", ""curricular content"", ""case study method""]","{""keywords"": [""mathematical competence"", ""problem based learning"", ""primary education"", ""curricular content"", ""case study method""]}"
119,"[""education for sustainable development"", ""math classes"", ""future teachers"", ""teacher training"", ""mathematical education""]","{""keywords"": [""education for sustainable development"", ""math classes"", ""future teachers"", ""teacher training"", ""mathematical education""]}"
120,"[""game-based learning"", ""mathematics education"", ""higher education"", ""systematic review"", ""bibliometric analysis""]","{""keywords"": [""game-based learning"", ""mathematics education"", ""higher education"", ""systematic review"", ""bibliometric analysis""]}"
121,"[""mathematics education"", ""intellectual divides"", ""research teaching"", ""quality equity"", ""collaborative approach""]","{""keywords"": [""mathematics education"", ""intellectual divides"", ""research teaching"", ""quality equity"", ""collaborative approach""]}"
122,"[""mathematical literacy"", ""physical education"", ""mathematization"", ""problem situations"", ""educational potential""]","{""keywords"": [""mathematical literacy"", ""physical education"", ""mathematization"", ""problem situations"", ""educational potential""]}"
123,"[""mathematics education"", ""pedagogical resource"", ""basic education"", ""quasi-experimental design"", ""statistical significance""]","{""keywords"": [""mathematics education"", ""pedagogical resource"", ""basic education"", ""quasi-experimental design"", ""statistical significance""]}"
124,"[""haitian migrant workers"", ""stem skills"", ""ethno modeling"", ""multicultural classroom"", ""quantitative methodology""]","{""keywords"": [""haitian migrant workers"", ""stem skills"", ""ethno modeling"", ""multicultural classroom"", ""quantitative methodology""]}"
125,"[""stereotype threat"", ""latent profiles"", ""social identities"", ""mathematics education"", ""gender differences""]","{""keywords"": [""stereotype threat"", ""latent profiles"", ""social identities"", ""mathematics education"", ""gender differences""]}"
126,"[""mathematics education"", ""co-authorship network"", ""delphi method"", ""bibliometric methods"", ""scientific productivity""]","{""keywords"": [""mathematics education"", ""co-authorship network"", ""delphi method"", ""bibliometric methods"", ""scientific productivity""]}"
127,"[""math anxiety"", ""working memory"", ""arithmetic skills"", ""elementary education"", ""preservice teachers""]","{""keywords"": [""math anxiety"", ""working memory"", ""arithmetic skills"", ""elementary education"", ""preservice teachers""]}"
128,"[""mathematics education"", ""primary school"", ""teacher training"", ""brazil"", ""pedagogy""]","{""keywords"": [""mathematics education"", ""primary school"", ""teacher training"", ""brazil"", ""pedagogy""]}"
129,"[""mathematics education"", ""digital humanities"", ""textual analysis"", ""knowledge production"", ""research agendas""]","{""keywords"": [""mathematics education"", ""digital humanities"", ""textual analysis"", ""knowledge production"", ""research agendas""]}"
130,"[""decolonial education"", ""mathematical education"", ""anthropolitics"", ""transcomplexity"", ""cognitive-affective systematizations""]","{""keywords"": [""decolonial education"", ""mathematical education"", ""anthropolitics"", ""transcomplexity"", ""cognitive-affective systematizations""]}"
131,"[""mathematical education"", ""history of education"", ""didactics"", ""university of murcia"", ""research programme""]","{""keywords"": [""mathematical education"", ""history of education"", ""didactics"", ""university of murcia"", ""research programme""]}"
132,"[""mathematics education"", ""ibero american heritage"", ""mathematical knowledge"", ""scientific development"", ""educational activity""]","{""keywords"": [""mathematics education"", ""ibero american heritage"", ""mathematical knowledge"", ""scientific development"", ""educational activity""]}"
133,"[""mathematics education"", ""internationalization"", ""influence"", ""formative"", ""research community""]","{""keywords"": [""mathematics education"", ""internationalization"", ""influence"", ""formative"", ""research community""]}"
